V,234,250.0,50
C,234,249.0,49
V,235,248.0,49
C,235,246.0,47
V,236,245.0,47
C,236,241.0,43
V,237,240.0,43
C,237,238.0,41
V,238,237.0,41
C,238,234.0,38
V,220,233.0,38
C,220,229.0,34
V,202,228.0,34
C,202,227.0,33
V,184,226.0,33
C,184,223.0,30
V,185,222.0,30
C,185,221.0,29
V,186,219.5,29
C,186,217.5,28
V,187,216.0,28
C,187,212.0,24
V,205,211.0,24
C,205,207.0,20
V,223,206.0,20
C,223,204.0,18
V,241,203.0,18
C,241,198.0,13
V,259,197.0,13
C,259,193.0,9
V,277,192.0,9
C,277,191.0,8
V,295,190.0,8
C,295,187.0,5
V,313,186.0,5
C,313,183.0,2
V,312,182.0,2
C,312,180.0,0
V,311,179.0,0
P,312,178.0,0
P,313,177.0,0
P,312,249.0,50
P,311,248.0,50
C,311,245.0,47
V,293,244.0,47
C,293,242.0,45
V,275,241.0,45
C,275,240.0,44
V,257,239.0,44
C,257,236.0,41
V,239,235.0,41
C,239,234.0,40
V,221,233.0,40
C,221,232.0,39
V,203,231.0,39
C,203,226.0,34
V,204,224.5,34
C,204,220.5,32
V,222,218.5,32
C,222,210.5,28
V,240,208.5,28
C,240,198.5,23
V,258,196.5,23
C,258,194.5,22
V,276,192.5,22
C,276,188.5,20
V,294,186.5,20
C,294,180.5,17
P,293,179.0,17
P,275,178.0,17
P,257,177.0,17
V,256,176.0,17
C,256,175.0,16
V,255,174.0,16
C,255,170.0,12
V,254,169.0,12
C,254,165.0,8
V,253,164.0,8
C,253,162.0,6
V,252,161.0,6
C,252,158.0,3
V,270,157.0,3
P,252,153.0,0
P,253,152.0,0
P,254,151.0,0
P,255,150.0,0
P,256,149.0,0
P,257,148.0,0
P,275,147.0,0
P,293,146.0,0
P,311,145.0,0
P,312,144.0,0
P,313,143.0,0
P,312,249.0,50
P,311,248.0,50
P,293,247.0,50
P,275,246.0,50
P,257,245.0,50
P,256,244.0,50
P,255,243.0,50
P,254,242.0,50
P,253,241.0,50
P,252,240.0,50
P,270,239.0,50
C,270,237.0,48
V,288,236.0,48
C,288,235.0,47
V,306,234.0,47
C,306,232.0,45
V,324,231.0,45
C,324,226.0,40
V,342,225.0,40
C,342,222.0,37
V,360,221.0,37
C,360,219.0,35
V,378,218.0,35
C,378,214.0,31
V,379,212.5,31
C,379,202.5,26
V,380,200.5,26
C,380,196.5,24
V,381,194.5,24
C,381,192.5,23
V,382,191.0,23
C,382,188.0,20
V,364,187.0,20
C,364,182.0,15
V,346,181.0,15
C,346,180.0,14
V,328,179.0,14
C,328,176.0,11
V,310,175.0,11
C,310,171.0,7
V,292,170.0,7
C,292,169.0,6
V,274,168.0,6
C,274,167.0,5
V,273,166.0,5
C,273,162.0,1
V,272,161.0,1
P,273,159.0,0
P,274,158.0,0
P,275,157.0,0
P,293,156.0,0
P,311,155.0,0
P,312,154.0,0
P,313,153.0,0
P,312,249.0,50
P,311,248.0,50
P,293,247.0,50
P,275,246.0,50
P,274,245.0,50
P,273,244.0,50
P,272,243.0,50
C,272,240.0,47
V,271,239.0,47
C,271,235.0,43
V,289,234.0,43
C,289,229.0,38
V,307,228.0,38
C,307,226.0,36
V,325,224.5,36
C,325,216.5,32
V,343,214.5,32
C,343,210.5,30
V,361,208.5,30
C,361,206.5,29
V,362,204.5,29
C,362,200.5,27
V,363,198.5,27
C,363,190.5,23
V,345,188.5,23
C,345,182.5,20
V,327,180.5,20
C,327,176.5,18
